Occupation,Career_Cluster,Career_Pathway,Top_10_Skills
Survey Researchers,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"data analysis_165,sql_98,data visualization_82,python_73,communication_63,r_52,tableau_50,statistics_47,project management_45,power bi_42"
Transportation Planners,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"communication_89,planning_77,project management_77,scheduling_60,communication skills_51,data analysis_48,primavera p6_47,teamwork_47,problem solving_39,analytical skills_39"
Aircraft Mechanics and Service Technicians,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"troubleshooting_27,a&p license_14,background check_13,aircraft maintenance_9,repair_9,inspection_9,log book entries_9,multitasking_9,drug test_9,vision insurance_9"
Automotive and Watercraft Service Attendants,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"customer service_633,valid driver's license_515,communication_387,ability to work at heights_364,ability to lift heavy objects_315,communication skills_274,troubleshooting_254,teamwork_252,problemsolving_249,ability to travel_245"
Automotive Body and Related Repairers,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"customer service_39,valid driver's license_20,communication_20,communication skills_15,driver's license_14,life insurance_13,teamwork_11,body shop estimator_10,time management_9,estimating_8"
Automotive Glass Installers and Repairers,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"suspension_483,tire installation_472,brakes_460,scheduled maintenance_422,automotive technical school certificate/degree_416,health insurance_406,dental insurance_402,automotive technician_400,paid vacation_397,ase automotive certification_396"
Automotive Service Technicians and Mechanics,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"customer service_959,communication_498,time management_399,communication skills_392,service advisor_269,teamwork_266,attention to detail_215,sales_200,problemsolving_192,organizational skills_190"
Avionics Technicians,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"troubleshooting_49,communication_19,teamwork_17,repair_17,communication skills_17,testing_16,maintenance_16,attention to detail_16,electronics_15,avionics_15"
Bicycle Repairers,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"customer service_603,valid driver's license_508,ability to work at heights_364,communication_338,ability to lift heavy objects_313,ability to travel_245,communication skills_242,travel_226,teamwork_223,problemsolving_220"
Bus and Truck Mechanics and Diesel Engine Specialists,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"customer service_1561,communication_850,valid driver's license_678,communication skills_645,teamwork_499,time management_472,problemsolving_425,ability to work at heights_364,attention to detail_357,troubleshooting_327"
Cleaners of Vehicles and Equipment,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"cleaning_8,driver's license_7,attention to detail_6,customer service_5,polishing_4,vacuuming_4,teamwork_4,high school diploma_4,communication skills_4,vehicle detailing_3"
"Electrical and Electronics Installers and Repairers, Transportation Equipment","Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"metrology_5,microsoft office suite_4,troubleshooting_3,electrical systems_3,interpersonal skills_3,teamwork_2,communication_2,documentation_2,safety_2,mathematics_2"
"Electronic Equipment Installers and Repairers, Motor Vehicles","Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"suspension_482,tire installation_472,brakes_459,scheduled maintenance_422,automotive technical school certificate/degree_416,health insurance_406,dental insurance_402,automotive technician_400,paid vacation_397,ase automotive certification_396"
"Mobile Heavy Equipment Mechanics, Except Engines","Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"customer service_483,troubleshooting_442,valid driver's license_351,communication_327,communication skills_230,teamwork_220,problemsolving_219,ability to work at heights_213,ability to lift heavy objects_200,travel_176"
Motorboat Mechanics and Service Technicians,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"customer service_608,valid driver's license_509,ability to work at heights_364,communication_355,ability to lift heavy objects_314,communication skills_253,ability to travel_244,teamwork_237,travel_227,problemsolving_226"
Motorcycle Mechanics,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"customer service_609,valid driver's license_510,ability to work at heights_364,communication_342,ability to lift heavy objects_315,communication skills_244,ability to travel_244,teamwork_230,travel_226,problemsolving_223"
Rail Car Repairers,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"troubleshooting_4,preventative maintenance_2,oscilloscope_2,repair_2,continuous improvement_2,mechanical aptitude_1,basic electrical knowledge_1,hose assembly and testing_1,welding_1,metal fabrication_1"
Rail-Track Laying and Maintenance Equipment Operators,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"quality control_19,machine operation_18,teamwork_11,communication_10,high school diploma or ged_10,manufacturing_10,troubleshooting_9,high school diploma_9,attention to detail_8,forklift operation_8"
Recreational Vehicle Service Technicians,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"customer service_1561,communication_815,valid driver's license_674,communication skills_620,teamwork_477,time management_468,problemsolving_404,ability to work at heights_364,attention to detail_341,ability to lift heavy objects_318"
Signal and Track Switch Repairers,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"signal inspections_1,plans review_1,field locates_1,administrative duties_1,traffic signal maintenance section_1,orlando's computerized signal system_1,fiber optic_1,hard wire network_1,microsoft office software (word excel)_1,international municipal signal association (imsa) level i traffic signal technician certification_1"
Tire Repairers and Changers,"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"customer service_1437,valid driver's license_1153,communication_863,ability to work at heights_781,ability to lift heavy objects_670,troubleshooting_618,communication skills_613,problemsolving_576,teamwork_570,ability to travel_510"
"Dispatchers, Except Police, Fire, and Ambulance","Transportation, Distribution & Logistics",Logistics Planning and Management Services,"scheduling_8,communication_8,customer service_7,excel_4,teamwork_4,computer skills_3,time management_3,ms project_3,maintenance planning_3,conflict resolution_3"
Logisticians,"Transportation, Distribution & Logistics",Logistics Planning and Management Services,"inventory management_367,production planning_301,communication_294,supply chain management_223,problem solving_217,data analysis_203,communication skills_198,scheduling_180,teamwork_177,analytical skills_166"
Logistics Analysts,"Transportation, Distribution & Logistics",Logistics Planning and Management Services,"inventory management_166,data analysis_148,supply chain management_144,communication_134,procurement_101,problem solving_99,analytical skills_96,communication skills_94,sap_92,project management_91"
Logistics Engineers,"Transportation, Distribution & Logistics",Logistics Planning and Management Services,"mechanical engineering_71,systems engineering_66,communication_65,reliability engineering_64,analytical skills_49,lean manufacturing_45,six sigma_45,leadership_45,project management_42,industrial engineering_40"
"Transportation, Storage, and Distribution Managers","Transportation, Distribution & Logistics",Logistics Planning and Management Services,"communication_943,leadership_743,inventory management_739,warehouse management_725,customer service_586,problem solving_583,communication skills_488,logistics_478,attention to detail_403,time management_400"
Billing and Posting Clerks,"Transportation, Distribution & Logistics",Sales and Service,"accounting_121,accounts payable_109,attention to detail_100,data entry_97,communication_82,billing_80,excel_79,accounts receivable_68,time management_68,customer service_63"
